TARİX,"XÜSUSİ ÇƏKİ
(kq/m3)","TƏZYİQLƏR
FƏRQİ (kPa)",TƏZYİQ (kPa),"TEMPERATUR
(C)","SAATLIQ
SƏRF(min m3)",SƏRF (min m3)
04-01-2018 01:00,0.72808,7.8115,534.257,9.518,4.837,116.077
04-01-2018 02:00,0.72808,7.2195,560.241,9.528,4.767,114.419
04-01-2018 03:00,0.72808,7.0246,568.465,9.560,4.738,113.717
04-01-2018 04:00,0.72808,6.8295,578.070,9.665,4.712,113.079
04-01-2018 05:00,0.72808,6.6387,595.136,9.815,4.714,113.134
04-01-2018 06:00,0.72808,6.7379,594.480,9.809,4.746,113.897
04-01-2018 07:00,0.72808,8.4190,573.133,9.770,5.201,124.824
04-01-2018 08:00,0.72808,8.3088,573.214,9.787,5.169,124.058
04-01-2018 09:00,0.72808,8.5518,563.548,9.866,5.197,124.726
04-01-2018 10:00,0.72808,8.9096,548.914,10.024,5.232,125.558
04-01-2018 11:00,0.72808,8.9471,550.340,10.181,5.247,125.938
04-01-2018 12:00,0.72416,9.0862,549.212,10.448,5.294,127.052
04-01-2018 13:00,0.72319,8.8844,545.009,10.792,5.215,125.168
04-01-2018 14:00,0.72319,9.2858,536.390,10.775,5.287,126.889
04-01-2018 15:00,0.72319,9.1781,537.545,10.731,5.263,126.320
04-01-2018 16:00,0.72319,8.9291,550.820,10.580,5.259,126.211
04-01-2018 17:00,0.72319,9.0768,544.559,10.242,5.274,126.572
04-01-2018 18:00,0.72319,11.1482,531.146,10.045,5.760,138.240
04-01-2018 19:00,0.72319,11.6598,515.738,10.041,5.807,139.367
04-01-2018 20:00,0.72319,11.4224,524.905,10.143,5.799,139.174
04-01-2018 21:00,0.72319,11.2650,530.245,10.099,5.790,138.966
04-01-2018 22:00,0.72319,10.7200,536.183,10.198,5.680,136.324
04-01-2018 23:00,0.72319,9.9960,555.232,10.204,5.586,134.075
05-01-2018 00:00,0.72319,7.0168,585.518,10.153,4.816,115.575
05-01-2018 01:00,0.72319,6.5298,606.358,9.994,4.734,113.615
05-01-2018 02:00,0.72319,6.1734,614.900,9.831,4.639,111.324
05-01-2018 03:00,0.72319,6.4779,575.884,9.821,4.595,110.270
05-01-2018 04:00,0.72319,6.1848,576.944,10.038,4.492,107.818
05-01-2018 05:00,0.72319,6.0889,580.858,9.987,4.474,107.373
05-01-2018 06:00,0.72319,6.3662,566.551,9.806,4.517,108.417
05-01-2018 07:00,0.72319,8.0211,557.873,9.831,5.024,120.585
05-01-2018 08:00,0.72319,8.7728,553.005,9.834,5.229,125.502
05-01-2018 09:00,0.72319,8.8992,545.493,9.926,5.230,125.524
05-01-2018 10:00,0.72319,8.4019,551.337,10.222,5.108,122.601
05-01-2018 11:00,0.72319,8.2568,566.699,10.392,5.135,123.229
05-01-2018 12:00,0.72621,8.2270,579.668,10.675,5.172,124.119
05-01-2018 13:00,0.72725,7.8136,597.270,11.021,5.111,122.674
05-01-2018 14:00,0.72725,7.9650,593.341,10.970,5.142,123.407
05-01-2018 15:00,0.72725,8.5554,563.158,10.853,5.190,124.566
05-01-2018 16:00,0.72725,8.9330,547.298,10.748,5.226,125.424
05-01-2018 17:00,0.72725,9.1556,540.201,10.475,5.258,126.194
05-01-2018 18:00,0.72725,10.2817,551.657,10.322,5.626,135.017
05-01-2018 19:00,0.72725,10.7701,553.665,10.228,5.773,138.543
05-01-2018 20:00,0.72725,10.6149,561.604,10.239,5.773,138.550
05-01-2018 21:00,0.72725,10.5733,562.935,10.105,5.770,138.482
05-01-2018 22:00,0.72725,10.6659,550.443,9.892,5.731,137.544
05-01-2018 23:00,0.72725,10.6181,542.659,9.874,5.677,136.253
06-01-2018 00:00,0.72725,7.5900,561.376,10.019,4.883,117.195
06-01-2018 01:00,0.72725,7.2165,572.941,10.010,4.820,115.680
06-01-2018 02:00,0.72725,7.1041,568.086,9.928,4.763,114.301
06-01-2018 03:00,0.72725,7.1430,559.323,9.903,4.738,113.715
06-01-2018 04:00,0.72725,6.8545,572.391,9.779,4.698,112.754
06-01-2018 05:00,0.72725,6.8906,561.828,9.740,4.666,111.978
06-01-2018 06:00,0.72725,7.4131,532.943,9.649,4.710,113.050
06-01-2018 07:00,0.72725,7.5360,548.070,9.561,4.818,115.630
06-01-2018 08:00,0.72725,7.7591,561.250,9.676,4.947,118.731
06-01-2018 09:00,0.72725,7.9546,557.231,9.761,4.989,119.736
06-01-2018 10:00,0.72725,8.4262,547.926,9.813,5.089,122.142
06-01-2018 11:00,0.72725,8.7790,543.481,9.822,5.172,124.129
06-01-2018 12:00,0.73196,8.9108,549.245,9.979,5.220,125.288
06-01-2018 13:00,0.73369,8.6200,565.057,10.087,5.203,124.875
06-01-2018 14:00,0.73369,8.9377,553.165,9.882,5.242,125.806
06-01-2018 15:00,0.73369,9.2056,543.636,9.765,5.273,126.559
06-01-2018 16:00,0.73369,9.3187,541.490,9.575,5.296,127.111
06-01-2018 17:00,0.73369,9.4281,537.740,9.509,5.308,127.390
06-01-2018 18:00,0.73369,11.7532,526.347,9.511,5.855,140.512
06-01-2018 19:00,0.73369,11.6808,530.841,9.566,5.861,140.666
06-01-2018 20:00,0.73369,11.6128,533.517,9.500,5.861,140.654
06-01-2018 21:00,0.73369,11.9232,519.384,9.616,5.855,140.528
06-01-2018 22:00,0.73369,11.8667,517.761,9.609,5.831,139.945
06-01-2018 23:00,0.73369,11.2680,523.810,9.723,5.714,137.139
07-01-2018 00:00,0.73369,7.6760,538.305,9.752,4.795,115.091
07-01-2018 01:00,0.73369,7.2903,556.896,9.758,4.756,114.134
07-01-2018 02:00,0.73369,6.9076,571.272,9.683,4.692,112.608
07-01-2018 03:00,0.73369,6.9539,560.617,9.529,4.664,111.929
07-01-2018 04:00,0.73369,7.0317,550.229,9.545,4.645,111.480
07-01-2018 05:00,0.73369,6.8585,560.539,9.533,4.632,111.158
07-01-2018 06:00,0.73369,6.8883,562.919,9.429,4.652,111.658
07-01-2018 07:00,0.73369,8.2221,557.161,9.458,5.050,121.207
07-01-2018 08:00,0.73369,8.3505,570.221,9.504,5.151,123.630
07-01-2018 09:00,0.73369,8.7236,554.637,9.419,5.190,124.566
07-01-2018 10:00,0.73369,9.3207,539.253,9.506,5.286,126.860
07-01-2018 11:00,0.73369,9.5837,537.006,9.772,5.346,128.297
07-01-2018 12:00,0.73014,9.6637,539.051,10.002,5.389,129.329
07-01-2018 13:00,0.72838,9.5696,550.966,9.830,5.431,130.342
07-01-2018 14:00,0.72838,9.5581,552.600,9.762,5.437,130.482
07-01-2018 15:00,0.72838,10.2307,533.398,9.948,5.519,132.467
07-01-2018 16:00,0.72838,10.4314,525.413,9.848,5.531,132.753
